region_id,region_type,color,pixel_count,parent_id,local_bbox_min_x,local_bbox_min_y,local_bbox_max_x,local_bbox_max_y,local_center_x,local_center_y,local_seed_x,local_seed_y,global_bbox_min_x,global_bbox_min_y,global_bbox_max_x,global_bbox_max_y,global_center_x,global_center_y,global_seed_x,global_seed_y
AREA000001,ocean,#1c28a0,2805785,,,,,,,,,,0,0,2087,2111,766,1204,766,1204
AREA000002,ocean,#39026f,254,,,,,,,,,,1027,0,1088,8,1057,3,1057,3
AREA000003,land,#d2f23f,82,,,,,,,,,,1316,0,1352,4,1337,1,1337,1
AREA000004,land,#4fde6c,98,,,,,,,,,,1392,0,1424,5,1407,2,1407,2
AREA000005,land,#45d341,374,,,,,,,,,,1429,0,1509,7,1468,2,1468,2
AREA000006,land,#68a48c,199,,,,,,,,,,1513,0,1560,7,1535,2,1535,2
AREA000007,land,#1507dd,64763,,,,,,,,,,1923,0,2495,233,2180,78,2180,78
AREA000008,ocean,#2d438f,2115870,,,,,,,,,,1284,0,3170,2111,2386,1142,2386,1142
AREA000009,ocean,#311a88,71855,,,,,,,,,,3171,0,4178,174,3591,48,3591,48
AREA000010,land,#c91f4d,776,,,,,,,,,,3661,0,3759,28,3707,11,3707,11
AREA000011,land,#1f74fa,664228,,,,,,,,,,3246,0,5631,528,4367,210,4367,210
AREA000012,ocean,#081e84,53456,,,,,,,,,,4569,0,5631,96,5230,31,5230,31
AREA000013,ocean,#36108c,50,,,,,,,,,,2491,0,2515,10,2505,7,2505,7
AREA000014,land,#4305c0,236,,,,,,,,,,4537,3,4583,19,4560,11,4560,11
AREA000015,land,#0f477f,4201,,,,,,,,,,848,6,1007,59,916,29,916,29
AREA000016,ocean,#1d09b2,57,,,,,,,,,,4568,6,4590,13,4578,9,4578,9
AREA000017,land,#bff617,1308,,,,,,,,,,1317,12,1400,47,1351,25,1351,25
AREA000018,land,#b94b8a,225,,,,,,,,,,4486,11,4540,27,4514,21,4514,21
AREA000019,ocean,#37169e,247,,,,,,,,,,5018,16,5062,27,5040,21,5040,21
AREA000020,land,#2952f8,1606,,,,,,,,,,1208,15,1306,56,1265,36,1265,36
AREA000021,land,#6b844a,21511,,,,,,,,,,1406,17,1846,204,1639,92,1639,92
AREA000022,ocean,#062195,193,,,,,,,,,,1143,19,1178,32,1163,23,1163,23
AREA000023,land,#74c65c,551,,,,,,,,,,1550,19,1621,33,1583,26,1583,26
AREA000024,land,#9cc5ea,1517,,,,,,,,,,3621,22,3709,68,3666,46,3666,46
AREA000025,land,#6d0ab7,11493,,,,,,,,,,951,24,1229,101,1087,63,1087,63
AREA000026,land,#87df75,173,,,,,,,,,,1550,27,1599,44,1571,36,1571,36
AREA000027,land,#5e0f75,61,,,,,,,,,,2387,26,2424,34,2404,30,2404,30
AREA000028,land,#a4c5da,93,,,,,,,,,,2430,25,2464,43,2448,36,2448,36
AREA000029,land,#3797cd,285711,,,,,,,,,,608,46,1943,512,1209,266,1209,266
AREA000030,ocean,#0f1ba7,195,,,,,,,,,,0,52,35,62,13,57,13,57
AREA000031,land,#9482ac,58,,,,,,,,,,4104,50,4122,65,4112,58,4112,58
AREA000032,ocean,#1e4ea0,76,,,,,,,,,,5614,54,5631,64,5624,59,5624,59
AREA000033,land,#0d258b,59825,,,,,,,,,,188,56,636,300,419,157,419,157
AREA000034,land,#d111ae,107,,,,,,,,,,2377,59,2417,71,2401,65,2401,65
AREA000035,land,#c2c9df,2127,,,,,,,,,,3084,61,3260,108,3179,84,3179,84
AREA000036,land,#318ecd,300,,,,,,,,,,3256,63,3298,87,3274,73,3274,73
AREA000037,ocean,#150f8a,95,,,,,,,,,,3733,70,3762,82,3747,76,3747,76
AREA000038,ocean,#0411a8,115,,,,,,,,,,1721,73,1763,91,1745,79,1745,79
AREA000039,land,#aadcd7,273,,,,,,,,,,1958,72,2002,87,1979,80,1979,80
AREA000040,ocean,#341889,62,,,,,,,,,,749,75,778,86,764,80,764,80
AREA000041,land,#9e46eb,14047,,,,,,,,,,3145,77,3309,234,3228,163,3228,163
AREA000042,ocean,#004397,51,,,,,,,,,,5445,77,5467,83,5457,80,5457,80
AREA000043,land,#40b869,485,,,,,,,,,,1264,79,1316,104,1291,91,1291,91
AREA000044,ocean,#324f7a,519,,,,,,,,,,1304,83,1349,123,1325,99,1325,99
AREA000045,ocean,#1c119b,183,,,,,,,,,,3572,85,3600,97,3584,90,3584,90
AREA000046,land,#a3d8ce,90,,,,,,,,,,4014,91,4037,110,4027,98,4027,98
AREA000047,land,#faf6e5,17657,,,,,,,,,,2990,92,3192,306,3077,189,3077,189
AREA000048,land,#260a7b,4405,,,,,,,,,,0,94,150,166,61,131,61,131
AREA000049,ocean,#1447a3,130,,,,,,,,,,1116,94,1161,108,1137,99,1137,99
AREA000050,land,#6c9396,381,,,,,,,,,,1606,104,1640,120,1623,112,1623,112
AREA000051,land,#e4067d,7399,,,,,,,,,,2895,102,3075,264,2973,205,2973,205
AREA000052,land,#ac73eb,83,,,,,,,,,,1973,105,2014,122,1994,116,1994,116
AREA000053,land,#f3d376,160,,,,,,,,,,1978,119,2015,132,1999,123,1999,123
AREA000054,lake,#350598,851,,,,,,,,,,891,124,972,156,926,139,926,139
AREA000055,land,#443ead,3511,,,,,,,,,,2460,132,2600,180,2533,157,2533,157
AREA000056,land,#c4e336,91,,,,,,,,,,2458,134,2479,148,2469,142,2469,142
AREA000057,land,#dfd450,1539,,,,,,,,,,1451,142,1555,184,1494,165,1494,165
AREA000058,ocean,#033da6,12083,,,,,,,,,,2988,142,3281,330,3126,249,3126,249
AREA000059,lake,#1b0d6f,64,,,,,,,,,,911,146,930,156,920,150,920,150
AREA000060,land,#60c151,426,,,,,,,,,,1592,149,1634,167,1612,158,1612,158
AREA000061,ocean,#01379f,1713304,,,,,,,,,,4025,156,5631,2111,5093,1198,5093,1198
AREA000062,ocean,#0a2c83,50,,,,,,,,,,140,176,164,186,152,180,152,180
AREA000063,ocean,#1e0096,148,,,,,,,,,,1502,187,1532,199,1516,193,1516,193
AREA000064,lake,#0f2c85,569,,,,,,,,,,990,194,1052,220,1021,209,1021,209
AREA000065,land,#9c1b5d,81,,,,,,,,,,1559,196,1574,208,1566,202,1566,202
AREA000066,lake,#253d82,530,,,,,,,,,,3286,207,3330,235,3309,220,3309,220
AREA000067,ocean,#013a8c,82,,,,,,,,,,199,228,221,236,211,232,211,232
AREA000068,land,#a7286e,146,,,,,,,,,,633,235,663,255,648,244,648,244
AREA000069,land,#e2de50,182,,,,,,,,,,675,238,703,267,689,247,689,247
AREA000070,land,#a115cf,130,,,,,,,,,,696,239,721,272,708,252,708,252
AREA000071,land,#4457f7,1283,,,,,,,,,,3184,240,3253,272,3221,254,3221,254
AREA000072,land,#8bdf32,63,,,,,,,,,,663,250,683,260,670,255,670,255
AREA000073,land,#c2ff13,5851,,,,,,,,,,2725,251,2843,387,2779,330,2779,330
AREA000074,land,#3e2541,1939,,,,,,,,,,3145,265,3257,301,3206,283,3206,283
AREA000075,land,#4f12e5,316,,,,,,,,,,718,266,780,320,758,291,758,291
AREA000076,ocean,#0f49a1,56,,,,,,,,,,2966,271,2980,280,2974,276,2974,276
AREA000077,land,#2cb2c6,51,,,,,,,,,,692,267,707,291,702,281,702,281
AREA000078,land,#202160,566,,,,,,,,,,2944,279,2986,315,2961,296,2961,296
AREA000079,land,#116b7a,1921,,,,,,,,,,3146,290,3232,329,3190,307,3190,307
AREA000080,land,#aa9274,6242,,,,,,,,,,3180,294,3325,370,3255,335,3255,335
AREA000081,land,#389674,65,,,,,,,,,,726,288,749,314,737,303,737,303
AREA000082,ocean,#32379e,99,,,,,,,,,,269,297,301,312,282,303,282,303
AREA000083,land,#925d48,85,,,,,,,,,,2990,298,3008,314,2999,305,2999,305
AREA000084,lake,#1a2d81,669,,,,,,,,,,4443,300,4536,367,4505,335,4505,335
AREA000085,land,#251c0b,76291,,,,,,,,,,3545,306,4178,536,3870,418,3870,418
AREA000086,land,#346848,304,,,,,,,,,,3126,308,3172,322,3151,316,3151,316
AREA000087,land,#2d50b6,322,,,,,,,,,,2690,308,2728,327,2711,318,2711,318
AREA000088,ocean,#124992,68,,,,,,,,,,234,312,258,321,246,316,246,316
AREA000089,ocean,#084daa,73,,,,,,,,,,2971,305,2991,322,2981,317,2981,317
AREA000090,land,#c628ca,10219,,,,,,,,,,2910,311,3050,432,2978,373,2978,373
AREA000091,land,#b3c2b6,9420,,,,,,,,,,3038,315,3193,405,3119,357,3119,357
AREA000092,land,#9857ea,1643,,,,,,,,,,2655,316,2721,366,2690,342,2690,342
AREA000093,lake,#3a3780,433,,,,,,,,,,1263,328,1300,363,1280,344,1280,344
AREA000094,land,#808f13,1790,,,,,,,,,,5034,331,5074,453,5050,384,5050,384
AREA000095,land,#167d8f,226412,,,,,,,,,,3969,335,4925,855,4440,600,4440,600
AREA000096,land,#364321,900,,,,,,,,,,2878,336,2928,378,2904,354,2904,354
AREA000097,land,#ea8146,15948,,,,,,,,,,3163,354,3444,464,3305,403,3305,403
AREA000098,land,#c8f54b,43567,,,,,,,,,,4191,358,4693,521,4429,440,4429,440
AREA000099,land,#e5c4cb,2135,,,,,,,,,,1887,368,1977,431,1932,408,1932,408
AREA000100,land,#86e926,715,,,,,,,,,,2856,367,2915,397,2888,380,2888,380
AREA000101,land,#16f77d,14457,,,,,,,,,,2742,374,2943,510,2854,443,2854,443
AREA000102,land,#66ba4b,2017,,,,,,,,,,3008,375,3109,412,3055,394,3055,394
AREA000103,land,#a3d8cd,570,,,,,,,,,,815,378,889,417,851,397,851,397
AREA000104,land,#1ff8bb,125,,,,,,,,,,1814,392,1849,404,1831,399,1831,399
AREA000105,land,#b230ec,1154,,,,,,,,,,3081,397,3167,425,3120,410,3120,410
AREA000106,land,#64f03b,194225,,,,,,,,,,864,401,1766,779,1255,556,1255,556
AREA000107,land,#17d795,4661,,,,,,,,,,1653,402,1855,491,1763,444,1763,444
AREA000108,land,#63f9f9,2013,,,,,,,,,,2965,407,3083,446,3039,428,3039,428
AREA000109,lake,#0032a4,1862,,,,,,,,,,1375,408,1492,445,1443,429,1443,429
AREA000110,land,#b19985,2345,,,,,,,,,,3071,413,3173,456,3119,435,3119,435
AREA000111,land,#884f24,724,,,,,,,,,,3237,415,3284,460,3261,433,3261,433
AREA000112,land,#65b2f0,6118,,,,,,,,,,3135,417,3280,489,3206,455,3206,455
AREA000113,land,#f63307,126,,,,,,,,,,1969,422,1991,442,1980,433,1980,433
AREA000114,land,#fcabc2,899,,,,,,,,,,2912,426,2978,454,2943,440,2943,440
AREA000115,ocean,#301ca9,797,,,,,,,,,,3361,434,3427,464,3391,450,3391,450
AREA000116,ocean,#263382,9070,,,,,,,,,,3548,436,3661,600,3609,520,3609,520
AREA000117,land,#5761b6,5999,,,,,,,,,,2921,437,3105,579,3005,491,3005,491
AREA000118,land,#800504,101,,,,,,,,,,1853,438,1870,461,1862,448,1862,448
AREA000119,land,#317e99,397,,,,,,,,,,3026,439,3072,465,3047,451,3047,451
AREA000120,lake,#3a3e7a,163,,,,,,,,,,3967,441,3997,465,3979,451,3979,451
AREA000121,ocean,#1e3baa,10593,,,,,,,,,,3248,443,3469,532,3351,496,3351,496
AREA000122,land,#71b735,925,,,,,,,,,,3041,444,3115,496,3075,463,3075,463
AREA000123,land,#75e761,126,,,,,,,,,,3800,447,3817,459,3808,453,3808,453
AREA000124,land,#04c94d,544,,,,,,,,,,3327,450,3387,477,3353,464,3353,464
AREA000125,land,#70ff63,1798,,,,,,,,,,3111,451,3174,510,3141,480,3141,480
AREA000126,lake,#0f12a7,1199,,,,,,,,,,1440,452,1486,521,1456,486,1456,486
AREA000127,lake,#0c3076,889,,,,,,,,,,1492,451,1543,499,1522,473,1522,473
AREA000128,lake,#303996,266,,,,,,,,,,1534,453,1564,476,1549,463,1549,463
AREA000129,ocean,#191daf,56701,,,,,,,,,,2730,457,3382,699,3075,595,3075,595
AREA000130,land,#c26406,10485,,,,,,,,,,3692,461,3956,590,3802,519,3802,519
AREA000131,land,#207275,1705,,,,,,,,,,5005,461,5091,524,5049,493,5049,493
AREA000132,land,#5ffb7a,1170,,,,,,,,,,3063,465,3120,506,3094,481,3094,481
AREA000133,land,#cb205f,2690,,,,,,,,,,3166,480,3263,527,3210,503,3210,503
AREA000134,lake,#0d0b90,349,,,,,,,,,,1567,481,1622,496,1597,490,1597,490
AREA000135,land,#2463af,12044,,,,,,,,,,2671,488,2865,609,2760,541,2760,541
AREA000136,land,#ca8f9a,1488,,,,,,,,,,3443,491,3546,529,3497,513,3497,513
AREA000137,land,#4bdc2f,235,,,,,,,,,,3105,492,3131,515,3117,503,3117,503
AREA000138,land,#bb169a,199,,,,,,,,,,3130,497,3155,516,3142,506,3142,506
AREA000139,land,#404958,4381,,,,,,,,,,3916,497,4072,558,3987,522,3987,522
AREA000140,land,#c8ca40,2619,,,,,,,,,,4763,501,4861,583,4807,544,4807,544
AREA000141,lake,#2006ab,430,,,,,,,,,,1517,502,1578,524,1546,513,1546,513
AREA000142,land,#f65c8a,143,,,,,,,,,,2951,504,2965,524,2958,513,2958,513
AREA000143,land,#89c611,10989,,,,,,,,,,3642,504,3858,621,3747,561,3747,561
AREA000144,land,#87d79c,581,,,,,,,,,,3118,507,3144,554,3130,529,3130,529
AREA000145,land,#8e08ec,539,,,,,,,,,,3137,511,3175,533,3155,522,3155,522
AREA000146,ocean,#0b1c99,330,,,,,,,,,,3641,512,3673,537,3655,525,3655,525
AREA000147,land,#769296,1905,,,,,,,,,,2668,514,2717,593,2691,551,2691,551
AREA000148,land,#2803f3,429,,,,,,,,,,3224,515,3270,539,3244,526,3244,526
AREA000149,land,#cf27ab,18016,,,,,,,,,,3225,515,3516,611,3371,562,3371,562
AREA000150,land,#82bc24,1679,,,,,,,,,,3522,518,3597,571,3562,541,3562,541
AREA000151,land,#b3b7ff,1668,,,,,,,,,,3131,520,3232,582,3167,547,3167,547
AREA000152,land,#466e22,476,,,,,,,,,,2944,527,2968,563,2957,545,2957,545
AREA000153,land,#030b72,537,,,,,,,,,,3498,528,3544,564,3518,541,3518,541
AREA000154,land,#2cbe31,4683,,,,,,,,,,4866,529,5039,648,4978,599,4978,599
AREA000155,ocean,#252a7e,156,,,,,,,,,,3239,530,3275,541,3258,535,3258,535
AREA000156,land,#73fff5,120,,,,,,,,,,3900,531,3922,547,3911,539,3911,539
AREA000157,land,#46f437,2787,,,,,,,,,,3871,544,3991,598,3929,570,3929,570
AREA000158,land,#cb58ab,93,,,,,,,,,,3901,544,3920,554,3910,549,3910,549
AREA000159,land,#a6d861,36723,,,,,,,,,,3507,551,3806,780,3666,663,3666,663
AREA000160,land,#f0e105,14193,,,,,,,,,,3764,571,3942,712,3847,644,3847,644
AREA000161,land,#191ea5,1913,,,,,,,,,,4793,570,4843,635,4819,601,4819,601
AREA000162,ocean,#150c6b,57,,,,,,,,,,1615,569,1630,595,1624,584,1624,584
AREA000163,land,#ea9908,374,,,,,,,,,,3147,573,3181,600,3163,585,3163,585
AREA000164,land,#42a843,485,,,,,,,,,,3011,575,3058,598,3037,585,3037,585
AREA000165,land,#c349a1,107,,,,,,,,,,3953,587,3983,596,3967,592,3967,592
AREA000166,land,#19cfbd,3254,,,,,,,,,,2934,589,2996,699,2965,639,2965,639
AREA000167,land,#8aa610,9646,,,,,,,,,,3423,589,3573,718,3500,656,3500,656
AREA000168,land,#9b7408,4041,,,,,,,,,,3376,590,3479,667,3418,625,3418,625
AREA000169,land,#076db8,50711,,,,,,,,,,2679,593,3002,876,2857,732,2857,732
AREA000170,land,#af2c28,18619,,,,,,,,,,3772,591,4022,800,3901,704,3901,704
AREA000171,land,#406223,12478,,,,,,,,,,2551,611,2798,838,2685,704,2685,704
AREA000172,land,#055c14,54,,,,,,,,,,3197,619,3219,626,3208,622,3208,622
AREA000173,land,#323761,119,,,,,,,,,,3323,619,3347,630,3335,625,3335,625
AREA000174,land,#6a0d76,59560,,,,,,,,,,3887,618,4210,1046,4041,820,4041,820
AREA000175,land,#e8e223,135,,,,,,,,,,3367,631,3388,655,3377,641,3377,641
AREA000176,land,#51a705,290,,,,,,,,,,4888,633,4924,660,4906,646,4906,646
AREA000177,ocean,#2242a2,85,,,,,,,,,,4867,639,4893,652,4880,645,4880,645
AREA000178,land,#0f4617,576,,,,,,,,,,4847,642,4882,685,4866,661,4866,661
AREA000179,land,#80f6cc,1746,,,,,,,,,,3363,652,3429,716,3391,684,3391,684
AREA000180,land,#c0c056,60,,,,,,,,,,3363,652,3377,664,3370,659,3370,659
AREA000181,land,#fa2122,35070,,,,,,,,,,2962,655,3209,866,3098,750,3098,750
AREA000182,land,#637656,39899,,,,,,,,,,982,662,1456,944,1211,798,1211,798
AREA000183,land,#78df77,61,,,,,,,,,,3363,664,3372,682,3368,672,3368,672
AREA000184,land,#6ba315,227,,,,,,,,,,3353,668,3370,709,3361,689,3361,689
AREA000185,land,#e4ed05,40572,,,,,,,,,,3357,669,3686,915,3513,795,3513,795
AREA000186,land,#9ffe1d,21136,,,,,,,,,,3203,679,3391,831,3282,758,3282,758
AREA000187,land,#261ceb,2839,,,,,,,,,,4070,698,4196,760,4129,730,4129,730
AREA000188,ocean,#1b4c6b,1285502,,,,,,,,,,3168,698,4593,2111,3896,1605,3896,1605
AREA000189,land,#afa189,253,,,,,,,,,,3546,702,3573,726,3560,713,3560,713
AREA000190,ocean,#240a66,8577,,,,,,,,,,3327,712,3497,976,3421,853,3421,853
AREA000191,land,#9ecee6,5154,,,,,,,,,,4194,714,4339,828,4275,760,4275,760
AREA000192,land,#c976ea,12505,,,,,,,,,,4259,727,4393,1004,4326,837,4326,837
AREA000193,land,#08ab83,719,,,,,,,,,,4206,730,4257,755,4231,743,4231,743
AREA000194,land,#b1de29,20939,,,,,,,,,,2550,747,2736,942,2654,856,2654,856
AREA000195,land,#c70675,528,,,,,,,,,,2632,748,2679,766,2658,758,2658,758
AREA000196,land,#103ef6,1943,,,,,,,,,,4195,759,4261,832,4224,794,4224,794
AREA000197,ocean,#1833b0,52,,,,,,,,,,3600,762,3611,782,3606,771,3606,771
AREA000198,land,#f21659,154,,,,,,,,,,3611,764,3623,788,3617,777,3617,777
AREA000199,land,#fec16b,1204,,,,,,,,,,3627,768,3698,818,3665,800,3665,800
AREA000200,land,#10a52a,919,,,,,,,,,,2584,775,2627,839,2607,813,2607,813
AREA000201,land,#e84672,609,,,,,,,,,,4696,778,4724,826,4710,801,4710,801
AREA000202,land,#8c7d8e,24807,,,,,,,,,,2625,781,2882,1013,2761,901,2761,901
AREA000203,land,#ce7f56,5962,,,,,,,,,,3631,783,3752,911,3694,851,3694,851
AREA000204,land,#6ccb93,244,,,,,,,,,,4248,803,4266,841,4258,821,4258,821
AREA000205,land,#76f741,23619,,,,,,,,,,2819,805,3065,987,2963,900,2963,900
AREA000206,land,#75f5d6,25087,,,,,,,,,,3027,807,3191,1056,3108,933,3108,933
AREA000207,land,#930e8e,5519,,,,,,,,,,4416,808,4529,1038,4486,910,4486,910
AREA000208,land,#62f78f,1632,,,,,,,,,,1494,811,1654,862,1581,833,1581,833
AREA000209,land,#939e68,4007,,,,,,,,,,4385,822,4501,955,4440,883,4440,883
AREA000210,land,#408266,37174,,,,,,,,,,3158,828,3419,1037,3284,922,3284,922
AREA000211,land,#d4f277,8303,,,,,,,,,,4343,854,4470,989,4401,918,4401,918
AREA000212,land,#a63195,140,,,,,,,,,,373,857,390,876,380,866,380,866
AREA000213,land,#271034,545,,,,,,,,,,4518,860,4553,888,4533,873,4533,873
AREA000214,land,#0ddd36,297,,,,,,,,,,1650,861,1693,889,1679,875,1679,875
AREA000215,land,#e923ab,777,,,,,,,,,,1690,862,1745,896,1711,877,1711,877
AREA000216,land,#fb1c00,8698,,,,,,,,,,3484,876,3646,975,3560,923,3560,923
AREA000217,land,#485d7c,1517,,,,,,,,,,4692,882,4733,960,4713,916,4713,916
AREA000218,land,#0e11a3,126,,,,,,,,,,1590,884,1621,894,1604,888,1604,888
AREA000219,land,#160b62,110,,,,,,,,,,1764,884,1787,892,1774,888,1774,888
AREA000220,land,#112514,321,,,,,,,,,,1419,884,1438,924,1426,904,1426,904
AREA000221,land,#7c45d4,2050,,,,,,,,,,3387,892,3488,979,3422,931,3422,931
AREA000222,land,#9355ce,1905,,,,,,,,,,1372,895,1432,957,1400,928,1400,928
AREA000223,land,#334423,3403,,,,,,,,,,2545,913,2637,980,2590,947,2590,947
AREA000224,land,#4868d3,1928,,,,,,,,,,1418,923,1510,969,1458,941,1458,941
AREA000225,land,#5cbed8,5009,,,,,,,,,,2729,938,2852,1022,2788,980,2788,980
AREA000226,land,#20bace,2268,,,,,,,,,,1446,939,1512,1005,1484,972,1484,972
AREA000227,land,#5ad4ce,21728,,,,,,,,,,3333,942,3564,1119,3435,1038,3435,1038
AREA000228,land,#2d29a0,3242,,,,,,,,,,4419,946,4500,1009,4458,974,4458,974
AREA000229,land,#6b32f9,287,,,,,,,,,,1404,947,1441,967,1424,958,1424,958
AREA000230,land,#3e2c7e,51,,,,,,,,,,4741,955,4756,975,4749,963,4749,963
AREA000231,land,#5d8552,17313,,,,,,,,,,2858,957,3044,1105,2942,1022,2942,1022
AREA000232,land,#7a768a,119,,,,,,,,,,4702,962,4718,981,4712,970,4712,970
AREA000233,land,#e8366a,8437,,,,,,,,,,2950,969,3069,1145,3014,1085,3014,1085
AREA000234,land,#c7e847,379,,,,,,,,,,2560,975,2601,1000,2584,983,2584,983
AREA000235,land,#f3e947,4291,,,,,,,,,,2582,975,2694,1059,2644,1009,2644,1009
AREA000236,land,#83b64d,304,,,,,,,,,,3470,974,3495,1001,3482,989,3482,989
AREA000237,land,#382c77,146,,,,,,,,,,4762,977,4782,999,4774,985,4774,985
AREA000238,land,#7cb960,21268,,,,,,,,,,1579,979,1763,1239,1671,1112,1671,1112
AREA000239,land,#7d9fbe,1983,,,,,,,,,,2828,980,2875,1074,2852,1021,2852,1021
AREA000240,land,#7f2e09,11689,,,,,,,,,,3194,983,3376,1117,3290,1059,3290,1059
AREA000241,land,#80d592,8655,,,,,,,,,,3458,986,3618,1197,3531,1099,3531,1099
AREA000242,land,#0d1ad3,136,,,,,,,,,,4726,989,4743,1007,4733,998,4733,998
AREA000243,land,#4fd02a,16852,,,,,,,,,,1669,990,1878,1161,1779,1062,1779,1062
AREA000244,land,#ec2caa,1020,,,,,,,,,,4355,993,4414,1083,4377,1045,4377,1045
AREA000245,land,#722955,3025,,,,,,,,,,3484,994,3582,1048,3540,1021,3540,1021
AREA000246,land,#713970,750,,,,,,,,,,1472,999,1519,1042,1497,1016,1497,1016
AREA000247,land,#1fa1f4,4358,,,,,,,,,,2765,999,2833,1098,2796,1049,2796,1049
AREA000248,land,#6173ac,871,,,,,,,,,,2815,1000,2843,1077,2831,1040,2831,1040
AREA000249,land,#ee3427,11505,,,,,,,,,,3042,1002,3242,1135,3136,1070,3136,1070
AREA000250,land,#5af58b,152,,,,,,,,,,4733,1001,4750,1031,4742,1016,4742,1016
AREA000251,land,#106df9,5836,,,,,,,,,,2682,1007,2776,1105,2728,1053,2728,1053
AREA000252,ocean,#0712b1,170,,,,,,,,,,1687,1008,1703,1031,1695,1021,1695,1021
AREA000253,land,#0db088,1160,,,,,,,,,,2609,1017,2651,1064,2631,1038,2631,1038
AREA000254,land,#d5ea5b,1235,,,,,,,,,,4752,1022,4797,1085,4776,1054,4776,1054
AREA000255,land,#4cf19a,1001,,,,,,,,,,1517,1023,1606,1060,1560,1039,1560,1039
AREA000256,land,#cf07fa,1098,,,,,,,,,,4065,1022,4097,1080,4079,1055,4079,1055
AREA000257,land,#6e32a6,178,,,,,,,,,,4725,1038,4755,1064,4742,1048,4742,1048
AREA000258,land,#7abc62,1601,,,,,,,,,,2636,1041,2699,1104,2669,1072,2669,1072
AREA000259,land,#4b9dea,3689,,,,,,,,,,1855,1043,1927,1154,1892,1098,1892,1098
AREA000260,land,#40a219,3127,,,,,,,,,,4533,1065,4683,1159,4612,1117,4612,1117
