region_type,region_id,parent_id,color,local_x,local_y,global_x,global_y,bbox_local,bbox,density_multiplier
ocean,1,,#ad69c1,286.34,130.09,286.34,130.09,"[0, 0, 876, 373]","[0, 0, 876, 373]",0.51
ocean,2,,#352f8b,1171.1,35.6,1171.1,35.6,"[862, 0, 1327, 114]","[862, 0, 1327, 114]",1.0
ocean,3,,#a2b062,1056.69,2.84,1056.69,2.84,"[1027, 0, 1089, 9]","[1027, 0, 1089, 9]",0.4
land,4,,#b7900d,1336.84,0.85,1336.84,0.85,"[1316, 0, 1353, 5]","[1316, 0, 1353, 5]",0.4
ocean,5,,#98fea5,1424.87,47.33,1424.87,47.33,"[1321, 0, 1559, 122]","[1321, 0, 1559, 122]",0.25
land,6,,#60f66c,1407.31,1.62,1407.31,1.62,"[1392, 0, 1425, 6]","[1392, 0, 1425, 6]",0.4
land,7,,#97b9c9,1467.85,2.14,1467.85,2.14,"[1429, 0, 1510, 8]","[1429, 0, 1510, 8]",0.25
land,8,,#c8306b,1535.19,1.99,1535.19,1.99,"[1513, 0, 1561, 8]","[1513, 0, 1561, 8]",0.25
ocean,9,,#fdec69,1882.85,149.86,1882.85,149.86,"[1558, 0, 2125, 351]","[1558, 0, 2125, 351]",1.0
land,10,,#6d3442,2187.14,61.65,2187.14,61.65,"[1923, 0, 2496, 189]","[1923, 0, 2496, 189]",0.65
ocean,11,,#b6a716,2301.31,587.55,2301.31,587.55,"[1540, 0, 3173, 1269]","[1540, 0, 3173, 1269]",0.51
ocean,12,,#7f1dd7,3591.28,48.18,3591.28,48.18,"[3172, 0, 4179, 174]","[3172, 0, 4179, 174]",1.0
land,13,,#d8c154,3706.78,10.5,3706.78,10.5,"[3661, 0, 3760, 29]","[3661, 0, 3760, 29]",0.4
land,14,,#074d7f,4462.12,179.51,4462.12,179.51,"[3438, 0, 5632, 393]","[3438, 0, 5632, 393]",0.25
ocean,15,,#8b779d,5230.45,31.02,5230.45,31.02,"[4569, 0, 5632, 97]","[4569, 0, 5632, 97]",1.0
ocean,16,,#44e3ad,2504.62,6.82,2504.62,6.82,"[2491, 0, 2516, 11]","[2491, 0, 2516, 11]",0.91
land,17,,#e26a9d,4559.65,11.37,4559.65,11.37,"[4537, 3, 4584, 20]","[4537, 3, 4584, 20]",0.85
land,18,,#b37c04,915.82,29.32,915.82,29.32,"[848, 6, 1008, 60]","[848, 6, 1008, 60]",0.25
ocean,19,,#275814,4578.26,8.98,4578.26,8.98,"[4568, 6, 4591, 14]","[4568, 6, 4591, 14]",0.55
land,20,,#1c8619,1351.4,25.13,1351.4,25.13,"[1317, 12, 1401, 48]","[1317, 12, 1401, 48]",0.25
ocean,21,,#493169,4514.47,20.72,4514.47,20.72,"[4485, 11, 4541, 28]","[4485, 11, 4541, 28]",0.85
ocean,22,,#5347e9,5040.07,21.21,5040.07,21.21,"[5018, 16, 5063, 28]","[5018, 16, 5063, 28]",0.25
land,23,,#6dda31,1264.71,35.78,1264.71,35.78,"[1208, 15, 1307, 57]","[1208, 15, 1307, 57]",0.25
