region_id,region_type,color,pixel_count,parent_id,local_bbox_min_x,local_bbox_min_y,local_bbox_max_x,local_bbox_max_y,local_center_x,local_center_y,local_seed_x,local_seed_y,global_bbox_min_x,global_bbox_min_y,global_bbox_max_x,global_bbox_max_y,global_center_x,global_center_y,global_seed_x,global_seed_y
PRV000001,ocean,#0e489e,254,TRT000001,0,0,61,8,28,3,28,3,1027,0,1088,8,1055,3,1055,3
PRV000002,ocean,#384e94,50,TRT000002,0,0,24,10,11,6,11,6,2491,0,2515,10,2502,6,2502,6
PRV000003,land,#78ee53,98,TRT000009,0,0,32,5,16,2,16,2,1392,0,1424,5,1408,2,1408,2
PRV000004,land,#371540,82,TRT000003,0,0,36,4,20,2,20,2,1316,0,1352,4,1336,2,1336,2
PRV000005,land,#e4b491,236,TRT000004,0,0,46,16,22,9,22,9,4537,3,4583,19,4559,12,4559,12
PRV000006,land,#4b0da0,374,TRT000010,0,0,80,7,39,3,39,3,1429,0,1509,7,1468,3,1468,3
PRV000007,land,#1a2340,199,TRT000011,0,0,47,7,23,3,23,3,1513,0,1560,7,1536,3,1536,3
PRV000008,land,#898e13,4201,TRT000005,0,0,159,53,69,23,69,23,848,6,1007,59,917,29,917,29
PRV000009,ocean,#150195,57,TRT000012,0,0,22,7,10,3,10,3,4568,6,4590,13,4578,9,4578,9
PRV000010,land,#1e9be5,966,TRT000013,48,0,85,35,67,14,69,12,1971,0,2008,35,1990,14,1992,12
PRV000011,land,#cae804,970,TRT000013,0,0,47,36,28,12,27,12,1923,0,1970,36,1951,12,1950,12
PRV000012,land,#e1136d,1445,TRT000013,21,17,78,56,51,40,52,37,1944,17,2001,56,1974,40,1975,37
PRV000013,land,#9b18a5,1444,TRT000014,36,0,89,35,68,16,67,16,2019,79,2072,114,2051,95,2050,95
PRV000014,land,#4d67c6,1413,TRT000014,48,34,90,80,70,55,69,54,2031,113,2073,159,2053,134,2052,133
PRV000015,land,#1592ae,1514,TRT000014,0,50,57,96,31,70,31,71,1983,129,2040,175,2014,149,2014,150
PRV000016,land,#6d5c1a,1001,TRT000014,23,0,61,55,42,34,40,36,2006,79,2044,134,2025,113,2023,115
PRV000017,ocean,#24219e,5276,TRT000006,385,0,524,63,439,23,437,23,3556,0,3695,63,3610,23,3608,23
PRV000018,ocean,#2a026e,4063,TRT000006,499,21,598,104,541,70,540,67,3670,21,3769,104,3712,70,3711,67
PRV000019,ocean,#032eb0,3483,TRT000006,420,51,503,108,460,79,461,79,3591,51,3674,108,3631,79,3632,79
PRV000020,ocean,#2d0faf,6379,TRT000006,288,0,388,86,333,34,336,34,3459,0,3559,86,3504,34,3507,34
PRV000021,ocean,#032ca4,5149,TRT000006,325,35,421,126,379,83,380,83,3496,35,3592,126,3550,83,3551,83
PRV000022,ocean,#220e80,12265,TRT000006,0,0,172,88,90,36,103,39,3171,0,3343,88,3261,36,3274,39
PRV000023,ocean,#31347a,7065,TRT000006,167,60,341,174,276,110,276,110,3338,60,3512,174,3447,110,3447,110
PRV000024,ocean,#342985,9612,TRT000006,172,0,289,93,227,42,241,40,3343,0,3460,93,3398,42,3412,40
PRV000025,ocean,#094c7b,1205,TRT000007,123,52,185,104,185,94,185,94,3834,52,3896,104,3896,94,3896,94
PRV000026,ocean,#172a83,6208,TRT000007,276,0,467,59,351,19,343,22,3987,0,4178,59,4062,19,4054,22
PRV000027,ocean,#2e0f99,7495,TRT000007,143,0,301,135,209,23,209,23,3854,0,4012,135,3920,23,3920,23
PRV000028,ocean,#11298a,9856,TRT000007,0,0,149,88,82,39,83,39,3711,0,3860,88,3793,39,3794,39
PRV000029,land,#d66cdd,776,TRT000008,0,0,98,28,44,12,44,12,3661,0,3759,28,3705,12,3705,12
PRV000030,land,#290d4b,1470,TRT000015,41,0,81,46,61,21,62,21,2004,0,2044,46,2024,21,2025,21
PRV000031,land,#24eab0,974,TRT000015,75,22,111,61,96,39,98,38,2038,22,2074,61,2059,39,2061,38
PRV000032,land,#f0d536,1406,TRT000015,61,42,110,79,83,64,82,64,2024,42,2073,79,2046,64,2045,64
PRV000033,land,#56b043,849,TRT000015,73,0,112,25,94,11,94,10,2036,0,2075,25,2057,11,2057,10
PRV000034,land,#0e6615,1150,TRT000015,0,34,63,79,43,61,42,59,1963,34,2026,79,2006,61,2005,59
PRV000035,land,#9a64e1,1371,TRT000016,1,26,40,75,18,48,19,47,2073,106,2112,155,2090,128,2091,127
PRV000036,land,#d5b48b,1193,TRT000016,39,0,78,41,57,20,60,21,2111,80,2150,121,2129,100,2132,101
PRV000037,land,#bf8ded,1248,TRT000016,0,0,45,31,22,14,24,12,2072,80,2117,111,2094,94,2096,92
PRV000038,land,#eb9b7d,1133,TRT000016,26,37,70,82,46,58,49,58,2098,117,2142,162,2118,138,2121,138
PRV000039,land,#b67953,632,TRT000016,60,24,95,57,77,41,80,41,2132,104,2167,137,2149,121,2152,121
PRV000040,land,#ee5081,1096,TRT000017,23,0,73,43,51,21,50,22,2036,141,2086,184,2064,162,2063,163
PRV000041,land,#a793da,1286,TRT000017,49,52,106,92,78,68,79,69,2062,193,2119,233,2091,209,2092,210
PRV000042,land,#bbece5,1237,TRT000017,57,11,97,54,78,36,78,37,2070,152,2110,195,2091,177,2091,178
PRV000043,land,#756ff3,1500,TRT000017,0,25,58,75,33,47,34,48,2013,166,2071,216,2046,188,2047,189
PRV000044,land,#4e0b13,1256,TRT000018,2,0,43,46,18,27,19,28,2074,0,2115,46,2090,27,2091,28
PRV000045,land,#c38c2a,1720,TRT000018,49,0,101,51,74,21,72,23,2121,0,2173,51,2146,21,2144,23
PRV000046,land,#a1d160,1515,TRT000018,34,35,78,79,53,59,51,61,2106,35,2150,79,2125,59,2123,61
PRV000047,land,#ac555d,1093,TRT000018,0,45,34,79,17,63,16,63,2072,45,2106,79,2089,63,2088,63
PRV000048,land,#e2def9,989,TRT000018,11,0,61,35,39,12,38,10,2083,0,2133,35,2111,12,2110,10
PRV000049,land,#c62143,1180,TRT000019,36,103,87,143,63,124,62,122,2174,103,2225,143,2201,124,2200,122
PRV000050,land,#f0c06c,1302,TRT000019,38,47,81,96,60,72,60,74,2176,47,2219,96,2198,72,2198,74
PRV000051,land,#4bf251,1718,TRT000019,25,0,70,47,51,21,51,22,2163,0,2208,47,2189,21,2189,22
PRV000052,land,#27a568,1196,TRT000019,11,79,55,127,34,101,32,100,2149,79,2193,127,2172,101,2170,100
PRV000053,land,#4022ca,1204,TRT000019,11,28,56,75,33,52,32,54,2149,28,2194,75,2171,52,2170,54
PRV000054,land,#f35459,822,TRT000019,55,81,87,125,75,102,77,103,2193,81,2225,125,2213,102,2215,103
PRV000055,land,#0cc380,792,TRT000019,0,57,37,97,16,77,14,77,2138,57,2175,97,2154,77,2152,77
PRV000056,land,#88e01f,1653,TRT000020,28,1,74,61,52,30,53,29,2135,127,2181,187,2159,156,2160,155
PRV000057,land,#c41105,1532,TRT000020,0,20,48,66,22,47,21,47,2107,146,2155,192,2129,173,2128,173
PRV000058,land,#d49467,1403,TRT000020,4,62,49,107,24,82,24,83,2111,188,2156,233,2131,208,2131,209
PRV000059,land,#4ec005,689,TRT000020,58,0,108,28,78,14,81,15,2165,126,2215,154,2185,140,2188,141
PRV000060,land,#675791,1256,TRT000021,0,0,44,40,24,19,23,19,2212,60,2256,100,2236,79,2235,79
PRV000061,land,#5927fe,1230,TRT000021,14,40,44,83,28,61,27,61,2226,100,2256,143,2240,121,2239,121
PRV000062,land,#4953cd,1119,TRT000021,43,40,85,76,61,56,60,58,2255,100,2297,136,2273,116,2272,118
PRV000063,land,#74a410,1369,TRT000021,38,4,82,43,58,24,58,26,2250,64,2294,103,2270,84,2270,86
PRV000064,land,#aa5a94,951,TRT000022,76,0,112,40,92,16,93,14,2285,0,2321,40,2301,16,2302,14
PRV000065,land,#37007d,1243,TRT000022,41,31,87,63,61,48,61,48,2250,31,2296,63,2270,48,2270,48
PRV000066,land,#3a4092,1176,TRT000022,44,0,82,36,61,17,64,18,2253,0,2291,36,2270,17,2273,18
PRV000067,land,#a92d2a,1172,TRT000022,0,32,41,62,20,48,21,49,2209,32,2250,62,2229,48,2230,49
PRV000068,land,#de7ed4,1486,TRT000022,0,0,43,35,22,16,23,18,2209,0,2252,35,2231,16,2232,18
PRV000069,land,#1c33af,1343,TRT000023,29,37,77,75,52,55,48,56,2313,37,2361,75,2336,55,2332,56
PRV000070,land,#960775,1014,TRT000023,4,75,41,113,24,93,24,93,2288,75,2325,113,2308,93,2308,93
PRV000071,land,#a27fc4,1014,TRT000023,39,71,75,107,55,90,56,89,2323,71,2359,107,2339,90,2340,89
PRV000072,land,#7f89e7,1053,TRT000023,65,54,109,102,83,83,83,81,2349,54,2393,102,2367,83,2367,81
PRV000073,land,#156168,1077,TRT000023,0,35,34,81,17,60,16,62,2284,35,2318,81,2301,60,2300,62
PRV000074,land,#346d75,1314,TRT000023,20,0,68,42,45,23,45,24,2304,0,2352,42,2329,23,2329,24
PRV000075,land,#045959,1317,TRT000024,99,0,157,28,126,12,125,12,2437,0,2495,28,2464,12,2463,12
PRV000076,land,#1dadda,1535,TRT000024,55,0,104,49,79,18,79,23,2393,0,2442,49,2417,18,2417,23
PRV000077,land,#504713,1443,TRT000024,23,33,82,75,52,51,51,56,2361,33,2420,75,2390,51,2389,56
PRV000078,land,#085beb,832,TRT000024,37,71,79,98,59,83,60,84,2375,71,2417,98,2397,83,2398,84
