region_type,region_id,parent_id,color,local_x,local_y,global_x,global_y,bbox_local,bbox,density_multiplier
ocean,TRT000001-PRV000001,TRT000001,#291f95,192.26,14.07,1054.26,14.07,"[0, 0, 313, 52]","[862, 0, 1175, 52]",1.0
ocean,TRT000001-PRV000002,TRT000001,#05027d,379.86,51.21,1241.86,51.21,"[300, 0, 465, 114]","[1162, 0, 1327, 114]",1.0
ocean,TRT000002-PRV000001,TRT000002,#1005b0,28.01,3.19,1055.01,3.19,"[0, 0, 62, 9]","[1027, 0, 1089, 9]",0.4
land,TRT000003-PRV000001,TRT000003,#4a8377,19.54,1.72,1335.54,1.72,"[0, 0, 37, 5]","[1316, 0, 1353, 5]",0.4
ocean,TRT000004-PRV000001,TRT000004,#212e90,105.02,47.32,1426.02,47.32,"[0, 0, 238, 122]","[1321, 0, 1559, 122]",0.25
land,TRT000005-PRV000001,TRT000005,#23089a,15.78,2.13,1407.78,2.13,"[0, 0, 33, 6]","[1392, 0, 1425, 6]",0.4
land,TRT000006-PRV000001,TRT000006,#d00dd5,39.39,2.88,1468.39,2.88,"[0, 0, 81, 8]","[1429, 0, 1510, 8]",0.25
land,TRT000007-PRV000001,TRT000007,#a4dbf3,23.53,2.66,1536.53,2.66,"[0, 0, 48, 8]","[1513, 0, 1561, 8]",0.25
land,TRT000010-PRV000001,TRT000010,#13279f,44.02,11.57,3705.02,11.57,"[0, 0, 99, 29]","[3661, 0, 3760, 29]",0.4
land,TRT000011-PRV000001,TRT000011,#93dd1c,124.18,21.51,2047.18,21.51,"[100, 0, 154, 59]","[2023, 0, 2077, 59]",0.65
land,TRT000011-PRV000002,TRT000011,#5aa27b,80.61,20.92,2003.61,20.92,"[57, 0, 103, 51]","[1980, 0, 2026, 51]",0.65
land,TRT000011-PRV000003,TRT000011,#e8ef01,72.06,54.56,1995.06,54.56,"[39, 33, 108, 76]","[1962, 33, 2031, 76]",0.65
land,TRT000011-PRV000004,TRT000011,#e09847,35.15,21.04,1958.15,21.04,"[0, 0, 59, 56]","[1923, 0, 1982, 56]",0.65
ocean,TRT000009-PRV000001,TRT000009,#0a2dab,81.59,33.08,306.59,33.08,"[0, 0, 159, 88]","[225, 0, 384, 88]",0.51
ocean,TRT000009-PRV000002,TRT000009,#190eb0,264.99,35.23,489.99,35.23,"[159, 0, 365, 79]","[384, 0, 590, 79]",0.51
ocean,TRT000009-PRV000003,TRT000009,#153975,496.05,41.19,721.05,41.19,"[363, 0, 651, 95]","[588, 0, 876, 95]",0.51
land,TRT000012-PRV000001,TRT000012,#17826a,62.76,42.88,2045.76,72.88,"[31, 12, 89, 69]","[2014, 42, 2072, 99]",0.65
land,TRT000012-PRV000002,TRT000012,#d19de6,90.79,29.6,2073.79,59.6,"[66, 0, 108, 62]","[2049, 30, 2091, 92]",0.65
land,TRT000012-PRV000003,TRT000012,#083bdc,45.5,123.1,2028.5,153.1,"[0, 94, 87, 159]","[1983, 124, 2070, 189]",0.65
land,TRT000012-PRV000004,TRT000012,#1c725e,87.07,95.13,2070.07,125.13,"[56, 61, 108, 138]","[2039, 91, 2091, 168]",0.65
land,TRT000012-PRV000005,TRT000012,#07bae5,45.07,70.82,2028.07,100.82,"[9, 38, 71, 96]","[1992, 68, 2054, 126]",0.65
ocean,TRT000008-PRV000001,TRT000008,#0e2b8f,85.47,305.93,85.47,305.93,"[0, 229, 185, 373]","[0, 229, 185, 373]",0.51
ocean,TRT000008-PRV000002,TRT000008,#211ca2,225.03,250.94,225.03,250.94,"[137, 157, 356, 339]","[137, 157, 356, 339]",0.51
ocean,TRT000008-PRV000003,TRT000008,#3242a0,58.01,205.29,58.01,205.29,"[0, 135, 147, 280]","[0, 135, 147, 280]",0.51
ocean,TRT000008-PRV000004,TRT000008,#294789,60.18,51.36,60.18,51.36,"[0, 0, 125, 126]","[0, 0, 125, 126]",0.51
ocean,TRT000008-PRV000005,TRT000008,#301580,165.6,125.14,165.6,125.14,"[80, 57, 284, 198]","[80, 57, 284, 198]",0.51
ocean,TRT000008-PRV000006,TRT000008,#140a87,187.45,42.28,187.45,42.28,"[121, 0, 259, 95]","[121, 0, 259, 95]",0.51
land,TRT000013-PRV000001,TRT000013,#f26881,54.17,38.68,2145.17,84.68,"[33, 14, 83, 69]","[2124, 60, 2174, 115]",0.65
land,TRT000013-PRV000002,TRT000013,#976674,24.28,77.61,2115.28,123.61,"[0, 49, 60, 110]","[2091, 95, 2151, 156]",0.65
land,TRT000013-PRV000003,TRT000013,#1aa3b5,83.47,57.98,2174.47,103.98,"[57, 29, 110, 85]","[2148, 75, 2201, 131]",0.65
land,TRT000013-PRV000004,TRT000013,#e7d5f5,16.34,28.11,2107.34,74.11,"[0, 0, 40, 55]","[2091, 46, 2131, 101]",0.65
land,TRT000014-PRV000001,TRT000014,#47de7b,31.4,95.51,2225.4,95.51,"[2, 75, 56, 115]","[2196, 75, 2250, 115]",0.65
land,TRT000014-PRV000002,TRT000014,#479862,24.07,63.1,2218.07,63.1,"[0, 38, 49, 88]","[2194, 38, 2243, 88]",0.65
land,TRT000014-PRV000003,TRT000014,#38bece,66.08,53.94,2260.08,53.94,"[43, 25, 94, 79]","[2237, 25, 2288, 79]",0.65
land,TRT000014-PRV000004,TRT000014,#12cc4e,78.92,100.59,2272.92,100.59,"[54, 74, 113, 129]","[2248, 74, 2307, 129]",0.65
land,TRT000014-PRV000005,TRT000014,#347c0f,108.56,74.23,2302.56,74.23,"[81, 42, 129, 111]","[2275, 42, 2323, 111]",0.65
land,TRT000014-PRV000006,TRT000014,#4aeae8,93.77,20.41,2287.77,20.41,"[66, 0, 119, 49]","[2260, 0, 2313, 49]",0.65
land,TRT000014-PRV000007,TRT000014,#bdb29c,42.34,20.45,2236.34,20.45,"[17, 0, 67, 46]","[2211, 0, 2261, 46]",0.65
land,TRT000015-PRV000001,TRT000015,#a334d9,55.33,16.35,2130.33,16.35,"[30, 0, 82, 43]","[2105, 0, 2157, 43]",0.65
land,TRT000015-PRV000002,TRT000015,#79b064,20.65,24.23,2095.65,24.23,"[0, 0, 43, 54]","[2075, 0, 2118, 54]",0.65
land,TRT000015-PRV000003,TRT000015,#1f6d13,110.93,53.14,2185.93,53.14,"[90, 29, 139, 83]","[2165, 29, 2214, 83]",0.65
land,TRT000015-PRV000004,TRT000015,#cbd52f,111.53,14.78,2186.53,14.78,"[80, 0, 149, 34]","[2155, 0, 2224, 34]",0.65
land,TRT000015-PRV000005,TRT000015,#707562,70.24,47.24,2145.24,47.24,"[38, 22, 92, 71]","[2113, 22, 2167, 71]",0.65
land,TRT000016-PRV000001,TRT000016,#fc6906,39.12,23.39,2349.12,23.39,"[0, 0, 87, 53]","[2310, 0, 2397, 53]",0.65
land,TRT000016-PRV000002,TRT000016,#865f77,104.78,16.48,2414.78,16.48,"[75, 0, 136, 44]","[2385, 0, 2446, 44]",0.65
land,TRT000016-PRV000003,TRT000016,#92c719,157.0,12.28,2467.0,12.28,"[135, 0, 186, 29]","[2445, 0, 2496, 29]",0.65
land,TRT000016-PRV000004,TRT000016,#a9da0e,129.33,53.67,2439.33,53.67,"[92, 36, 167, 71]","[2402, 36, 2477, 71]",0.65
land,TRT000016-PRV000005,TRT000016,#b45e0d,101.79,82.82,2411.79,82.82,"[75, 71, 147, 100]","[2385, 71, 2457, 100]",0.65
land,TRT000016-PRV000006,TRT000016,#293ae5,63.3,68.15,2373.3,68.15,"[36, 36, 95, 103]","[2346, 36, 2405, 103]",0.65
land,TRT000016-PRV000007,TRT000016,#410ff2,25.52,77.44,2335.52,77.44,"[3, 42, 50, 108]","[2313, 42, 2360, 108]",0.65
ocean,TRT000019-PRV000001,TRT000019,#142c76,10.75,5.85,2501.75,5.85,"[0, 0, 25, 11]","[2491, 0, 2516, 11]",0.91
ocean,TRT000017-PRV000001,TRT000017,#363d65,159.22,69.39,1962.22,146.39,"[93, 0, 220, 132]","[1896, 77, 2023, 209]",1.0
ocean,TRT000017-PRV000002,TRT000017,#04296f,176.2,188.71,1979.2,265.71,"[130, 124, 231, 264]","[1933, 201, 2034, 341]",1.0
ocean,TRT000017-PRV000003,TRT000017,#243f7e,79.89,137.52,1882.89,214.52,"[0, 71, 150, 186]","[1803, 148, 1953, 263]",1.0
ocean,TRT000017-PRV000004,TRT000017,#22288c,249.22,161.31,2052.22,238.31,"[198, 105, 322, 218]","[2001, 182, 2125, 295]",1.0
