region_id,region_type,color,pixel_count,parent_id,local_bbox_min_x,local_bbox_min_y,local_bbox_max_x,local_bbox_max_y,local_center_x,local_center_y,local_seed_x,local_seed_y,global_bbox_min_x,global_bbox_min_y,global_bbox_max_x,global_bbox_max_y,global_center_x,global_center_y,global_seed_x,global_seed_y
TRT000001,ocean,#252b6e,254,DST000001,0,0,61,8,28,3,28,3,1027,0,1088,8,1055,3,1055,3
TRT000002,ocean,#251c93,50,DST000009,0,0,24,10,11,6,11,6,2491,0,2515,10,2502,6,2502,6
TRT000003,land,#b61928,82,DST000002,0,0,36,4,20,2,20,2,1316,0,1352,4,1336,2,1336,2
TRT000004,land,#403f74,236,DST000010,0,0,46,16,22,9,22,9,4537,3,4583,19,4559,12,4559,12
TRT000005,land,#32f7e6,4201,DST000011,0,0,159,53,69,23,69,23,848,6,1007,59,917,29,917,29
TRT000006,ocean,#340484,53292,DST000003,0,0,598,174,288,56,331,54,3171,0,3769,174,3459,56,3502,54
TRT000007,ocean,#0549ae,24764,DST000003,540,0,1007,135,795,36,795,36,3711,0,4178,135,3966,36,3966,36
TRT000008,land,#875f11,776,DST000004,0,0,98,28,44,12,44,12,3661,0,3759,28,3705,12,3705,12
TRT000009,land,#d3c85b,98,DST000005,0,0,32,5,16,2,16,2,1392,0,1424,5,1408,2,1408,2
TRT000010,land,#b0cf15,374,DST000006,0,0,80,7,39,3,39,3,1429,0,1509,7,1468,3,1468,3
TRT000011,land,#b642e2,199,DST000007,0,0,47,7,23,3,23,3,1513,0,1560,7,1536,3,1536,3
TRT000012,ocean,#2616af,57,DST000014,0,0,22,7,10,3,10,3,4568,6,4590,13,4578,9,4578,9
TRT000013,land,#110f48,3381,DST000012,0,0,85,56,49,24,48,27,1923,0,2008,56,1972,24,1971,27
TRT000014,land,#822908,5372,DST000012,60,79,150,175,113,124,112,121,1983,79,2073,175,2036,124,2035,121
TRT000015,land,#e45b27,5849,DST000012,40,0,152,79,113,41,113,37,1963,0,2075,79,2036,41,2036,37
TRT000016,land,#ca5abb,5577,DST000012,149,80,244,162,189,116,188,120,2072,80,2167,162,2112,116,2111,120
TRT000017,land,#bafd03,5119,DST000012,90,141,196,233,149,185,148,186,2013,141,2119,233,2072,185,2071,186
TRT000018,land,#821b13,6573,DST000012,149,0,250,79,193,37,189,39,2072,0,2173,79,2116,37,2112,39
TRT000019,land,#c67bdc,8214,DST000012,215,0,302,143,263,74,262,73,2138,0,2225,143,2186,74,2185,73
TRT000020,land,#53a2df,5277,DST000012,184,126,292,233,223,173,223,175,2107,126,2215,233,2146,173,2146,175
TRT000021,land,#f199e0,4974,DST000013,3,60,88,143,46,99,45,98,2212,60,2297,143,2255,99,2254,98
TRT000022,land,#59c7f3,6028,DST000013,0,0,112,63,48,29,48,28,2209,0,2321,63,2257,29,2257,28
TRT000023,land,#aa9779,6815,DST000013,75,0,184,113,121,65,116,74,2284,0,2393,113,2330,65,2325,74
TRT000024,land,#3cf5e6,8608,DST000013,129,0,286,98,202,37,192,37,2338,0,2495,98,2411,37,2401,37
TRT000025,land,#0448c3,1308,DST000015,0,0,83,35,34,14,34,14,1317,12,1400,47,1351,26,1351,26
TRT000026,ocean,#1c449a,35388,DST000008,592,0,1062,96,844,38,847,39,5161,0,5631,96,5413,38,5416,39
